"","_id","articleId","informfully_id","createdAt","articlePublishedDate","removedAt"
"658","R3PCz8kzR3NQzAjex","655fea77fc30ed2f097c6a6c","KzxQtuFeWmsx2JPgy",2023-11-24 07:00:32,"1700490367660",2023-11-24 07:00:32
"659","od4ZaEFC3RuPB7XRy","655fea77fc30ed2f097c6a6c","KzxQtuFeWmsx2JPgy",2023-11-24 07:00:33,"1700490367660",NA
"660","8pW3jJE4CJSfpC2QN","655fea73fc30ed2f097c6a60","vtwHwKeoToDe28ZY9",2023-11-24 07:22:04,"1700490367660",NA
"661","WwZKRN2pPsxNSzfaX","655fea73fc30ed2f097c6a5f","vtwHwKeoToDe28ZY9",2023-11-24 07:22:48,"1700490367660",NA
"662","Mnu8DPJgrZQXiGiah","655fea78fc30ed2f097c6a6f","rWLWyoAuoJ9hDFr7a",2023-11-24 07:25:03,"1700490367660",2023-11-24 07:25:18
"663","jZc5ZHgQio3YWYhng","655fea78fc30ed2f097c6a6f","rWLWyoAuoJ9hDFr7a",2023-11-24 07:25:41,"1700490367660",NA
"664","6z3avdpw2TsHoFsFz","655fea71fc30ed2f097c6a59","PDKh5hm5kiZ6pd67D",2023-11-24 07:26:01,"1700490367660",NA
"665","cCNJiNGiss4MdgCfg","655fe9c8fc30ed2f097c588d","WLpfLj9JBfDbSX7cq",2023-11-24 07:35:59,"1700490367660",NA
"666","MjAfyMp3wWGPcqF9W","655fea6afc30ed2f097c6a3c","WLpfLj9JBfDbSX7cq",2023-11-24 07:36:16,"1700490367660",NA
"667","ENMMRfKNoDmannyQJ","655fea5ffc30ed2f097c6a1b","HvwATups2zysWTqmQ",2023-11-24 07:43:16,"1700490367660",NA
"668","vkimEkYP73zP6PP9Q","655fea61fc30ed2f097c6a23","rWLWyoAuoJ9hDFr7a",2023-11-24 07:50:08,"1700490367660",NA
"669","9xgYiKFGh4wsPPQk4","655fea75fc30ed2f097c6a67","55zf7myh2Md7vykEa",2023-11-24 07:57:50,"1700490367660",NA
"670","qPP8QDGRb8qFb667C","655fea76fc30ed2f097c6a6a","BJkY87CobhyKdncRM",2023-11-24 08:01:52,"1700490367660",NA
"671","6rB7PzjPrD5FLAiHp","655fea78fc30ed2f097c6a6f","HD4LTQ5tWZb3PnbC9",2023-11-24 08:04:34,"1700490367660",NA
"672","SB5aeFosBXKHs4fT4","655fea76fc30ed2f097c6a69","rsRvufyCNC6HjoxAq",2023-11-24 08:10:16,"1700490367660",NA
"673","MvpniTNL8jAXmDrrN","655fea76fc30ed2f097c6a68","rsRvufyCNC6HjoxAq",2023-11-24 08:10:46,"1700490367660",NA
"674","8tLaKY7uFDN7N2qHG","655f58f851ac33155be8fbee","SDyEbyPt85yH9HsGs",2023-11-24 08:24:32,"1700490367660",2023-11-24 08:24:33
"675","xbYKDpcJLddwFFNz7","655fea75fc30ed2f097c6a67","rXheyH4YP6iRdKo9K",2023-11-24 08:37:29,"1700490367660",NA
"676","FpHJ6QjgM5drWgTAL","655fea12fc30ed2f097c6927","B7M4qcy68ZTwLyvED",2023-11-24 08:38:27,"1700490367660",NA
"677","9zz752Q6WLz4iSobs","655fea75fc30ed2f097c6a67","HD4LTQ5tWZb3PnbC9",2023-11-24 08:39:37,"1700490367660",NA
"678","S8EdggneKHmBwexri","655fe9c8fc30ed2f097c588d","B7M4qcy68ZTwLyvED",2023-11-24 08:45:19,"1700490367660",2023-11-24 08:45:19
"679","cF5GxgPN3svhd4uy4","655fe9c8fc30ed2f097c588d","B7M4qcy68ZTwLyvED",2023-11-24 08:45:20,"1700490367660",2023-11-24 08:45:21
"680","CKzdhvWriMoKKEMYS","655fea72fc30ed2f097c6a5b","jjbNxKiEhyBQMQxjq",2023-11-24 08:48:33,"1700490367660",NA
"681","js2BSW2i3HEieMY3m","655fea46fc30ed2f097c69ca","i295gbHHW9tWiLy7y",2023-11-24 08:51:07,"1700490367660",NA
"682","wcLCMZeKudwSMC3AH","655fea57fc30ed2f097c6a03","QZeJ4HERvueQSu549",2023-11-24 08:52:41,"1700490367660",NA
"683","3Qfu8cwFytmYrYrD8","655fea72fc30ed2f097c6a5c","Ra22vbN5jy8dMkacE",2023-11-24 09:12:49,"1700490367660",NA
"684","bGTbWcBBZgzcWApKn","655fea6afc30ed2f097c6a3c","3SzvJyujtBTWtZpNm",2023-11-24 09:14:45,"1700490367660",NA
"685","n9izM4wyvt7Ei8mSw","655fe9c8fc30ed2f097c5bc6","3SzvJyujtBTWtZpNm",2023-11-24 09:16:28,"1700490367660",NA
"686","S8G9NnaAQGTffmJyL","655fea75fc30ed2f097c6a65","wkyzzdTmtTK6YjiE6",2023-11-24 09:25:12,"1700490367660",NA
"687","zWvWj9JuJHoNNRbqH","655fea5ffc30ed2f097c6a1b","RemDpFpsSYizGbjuh",2023-11-24 09:35:34,"1700490367660",NA
"688","uX3b52qDrJ7BD4ea8","655f58f851ac33155be8fbee","ugTgCkq5Bjswib3x2",2023-11-24 10:11:37,"1700490367660",NA
"689","sbaPx57Aeuakhnr7e","655fe9c8fc30ed2f097c650c","ugTgCkq5Bjswib3x2",2023-11-24 10:14:00,"1700490367660",NA
"690","sDmAwLxDb6rcyiDYm","655fea12fc30ed2f097c6927","TBfnotCAztryfZnfu",2023-11-24 10:14:04,"1700490367660",NA
"691","zDHgNCDQDHjMeMHA4","655fea73fc30ed2f097c6a5f","ugTgCkq5Bjswib3x2",2023-11-24 10:14:21,"1700490367660",NA
"692","sXLhi4WE4p9wcPHSe","655f578951ac33155be8fbea","wzTmEib3xMkLfnQ4y",2023-11-24 10:18:04,"1700490367660",NA
"693","QECqn6Mpkeb8DXbnd","655fea2cfc30ed2f097c6975","wzTmEib3xMkLfnQ4y",2023-11-24 10:25:34,"1700490367660",NA
"694","6B7DWgFwDGYqMbX4X","655fea6afc30ed2f097c6a3c","wzTmEib3xMkLfnQ4y",2023-11-24 10:26:54,"1700490367660",NA
"695","xLbJKgRLMbdjperJZ","655fea10fc30ed2f097c6924","wzTmEib3xMkLfnQ4y",2023-11-24 10:28:20,"1700490367660",NA
"696","bJPmGSjsr645YEDye","655f53a490673a63ff46c2ea","Nqpp9dXxGwP8A45P3",2023-11-24 10:29:21,"1700490367660",NA
"697","8GrmpRhQztmZJaJF5","655f578951ac33155be8fbea","Nqpp9dXxGwP8A45P3",2023-11-24 10:34:11,"1700490367660",NA
"698","FKv5PkDLnw2na4PAb","655fe9e0fc30ed2f097c68a3","Nqpp9dXxGwP8A45P3",2023-11-24 10:37:08,"1700490367660",NA
"699","p6P6PNfptm4oCZ4Nv","655fea5cfc30ed2f097c6a12","PJcenZT4G7Pn9PRvj",2023-11-24 10:48:13,"1700490367660",2023-11-24 10:48:13
"700","LqALnRaFBnZdJwCi5","655fea5cfc30ed2f097c6a12","PJcenZT4G7Pn9PRvj",2023-11-24 10:48:13,"1700490367660",NA
"701","FMBgCf4LHY6cFL3Zg","655fea78fc30ed2f097c6a6f","9v8GJzaYo9AGiNTRF",2023-11-24 11:17:35,"1700490367660",2023-11-24 11:17:36
"702","qSFyCAfwM9fZzETbh","655fea75fc30ed2f097c6a67","ASGL3mXMAHAh3kHyf",2023-11-24 11:50:36,"1700490367660",NA
"703","S5oGb3TQ7iPxvCXvW","655fea70fc30ed2f097c6a56","ASGL3mXMAHAh3kHyf",2023-11-24 11:53:31,"1700490367660",NA
"704","fbQALNP36yzEmDp4Y","655fea78fc30ed2f097c6a6f","ASGL3mXMAHAh3kHyf",2023-11-24 11:53:52,"1700490367660",NA
"705","ZghbytxDPuL7QyheC","655fea78fc30ed2f097c6a6e","ASGL3mXMAHAh3kHyf",2023-11-24 11:54:04,"1700490367660",NA
"706","ECmi6CkPbxjCgXPJk","655fea77fc30ed2f097c6a6b","ASGL3mXMAHAh3kHyf",2023-11-24 11:54:19,"1700490367660",2023-11-24 11:54:21
"707","9ZT4hXx76dqqtX6Xe","655fea76fc30ed2f097c6a6a","ASGL3mXMAHAh3kHyf",2023-11-24 11:54:29,"1700490367660",2023-11-24 11:54:33
"708","pDHesHoCPZ59Mvysh","655fea75fc30ed2f097c6a66","h6x4KmrJyGDE8Hojn",2023-11-24 12:53:01,"1700490367660",NA
"709","9DjtB9wYadBcwyR3L","655fea12fc30ed2f097c6927","Qdv5jqNkYTMN4P6df",2023-11-24 12:56:16,"1700490367660",2023-11-24 12:56:51
"710","J8f3CqBPbuGWQte9p","655fea5ffc30ed2f097c6a1b","Qdv5jqNkYTMN4P6df",2023-11-24 12:58:10,"1700490367660",NA
"711","nEuaFzL6LEhbpeJZJ","655fea2cfc30ed2f097c6975","Qdv5jqNkYTMN4P6df",2023-11-24 13:00:14,"1700490367660",NA
"712","zPWKqjaAC42gAz5u2","655fea6dfc30ed2f097c6a48","M4PNJvmRyNiK92xvE",2023-11-24 13:03:42,"1700490367660",NA
"713","FSArGQE4gYHrAmG9n","655fea75fc30ed2f097c6a66","HD4LTQ5tWZb3PnbC9",2023-11-24 13:24:27,"1700490367660",2023-11-24 13:24:48
"714","mD6uTEw644mJigL7G","655fea75fc30ed2f097c6a66","HD4LTQ5tWZb3PnbC9",2023-11-24 13:25:05,"1700490367660",2023-11-24 13:25:31
"715","zm2wzzW7PszLwbYmf","655fea75fc30ed2f097c6a66","HD4LTQ5tWZb3PnbC9",2023-11-24 13:25:32,"1700490367660",2023-11-24 13:26:04
"716","6XXTv5yxzY3LYC9BB","655fea75fc30ed2f097c6a66","HD4LTQ5tWZb3PnbC9",2023-11-24 13:26:07,"1700490367660",2023-11-24 13:26:14
"717","JGxkPt6wG3sf5crGY","655fea75fc30ed2f097c6a66","HD4LTQ5tWZb3PnbC9",2023-11-24 13:26:20,"1700490367660",2023-11-24 13:26:21
"718","LMKnqmQwQHZLqyRpf","655fea75fc30ed2f097c6a66","HD4LTQ5tWZb3PnbC9",2023-11-24 13:26:23,"1700490367660",2023-11-24 13:26:24
"719","xzaKnhpkzRgEpMNPP","655fea75fc30ed2f097c6a66","HD4LTQ5tWZb3PnbC9",2023-11-24 13:26:25,"1700490367660",2023-11-24 13:26:26
"720","TPrJvwcmGJXF7PBcr","655fea75fc30ed2f097c6a66","HD4LTQ5tWZb3PnbC9",2023-11-24 13:26:26,"1700490367660",2023-11-24 13:26:27
"721","xBXtcR5dkXWosfWnQ","655fea75fc30ed2f097c6a66","HD4LTQ5tWZb3PnbC9",2023-11-24 13:26:30,"1700490367660",2023-11-24 13:26:31
"722","obBu5ABQsdLGpwWEk","655fea75fc30ed2f097c6a66","HD4LTQ5tWZb3PnbC9",2023-11-24 13:26:31,"1700490367660",2023-11-24 13:26:33
"723","Y2ibzh2kKPLGsicZk","655fea75fc30ed2f097c6a66","HD4LTQ5tWZb3PnbC9",2023-11-24 13:26:33,"1700490367660",2023-11-24 13:26:34
"724","n34mv2H5y83h6XTTK","655fe9cafc30ed2f097c6861","R7AWwsaJ48GD9h8Qx",2023-11-24 13:36:59,"1700490367660",2023-11-24 13:41:09
"725","u4ihE9oEvdce47o4o","655fe9cafc30ed2f097c6861","R7AWwsaJ48GD9h8Qx",2023-11-24 13:41:10,"1700490367660",NA
"726","9eNZQYuJX3MPzQKYL","655fea34fc30ed2f097c698d","R7AWwsaJ48GD9h8Qx",2023-11-24 13:41:17,"1700490367660",NA
"727","mPwvBqkKTSSixN3LE","655fea12fc30ed2f097c6927","R7AWwsaJ48GD9h8Qx",2023-11-24 13:42:26,"1700490367660",NA
"728","kBsa4thTtJ3pNjQL2","655fea2cfc30ed2f097c6975","2vSbi8uoJfvXm2Gqs",2023-11-24 13:46:40,"1700490367660",NA
"729","PgrdnyoMEZrbQcxaC","655fe9c8fc30ed2f097c59e9","R7AWwsaJ48GD9h8Qx",2023-11-24 13:47:56,"1700490367660",NA
"730","hhu2Le8RBscmEj6Lk","655fea78fc30ed2f097c6a70","C4QZ7grTdpe4p49z9",2023-11-24 13:48:21,"1700490367660",2023-11-24 13:48:22
"731","fPGmtLjxn4f3kZsRu","655fea78fc30ed2f097c6a70","C4QZ7grTdpe4p49z9",2023-11-24 13:48:25,"1700490367660",2023-11-24 13:48:28
"732","KoGfB67JqrPeEMssj","655fea78fc30ed2f097c6a70","C4QZ7grTdpe4p49z9",2023-11-24 13:48:29,"1700490367660",2023-11-24 13:48:30
"733","5GrM2qwSnzAsLdTGh","655fea78fc30ed2f097c6a70","C4QZ7grTdpe4p49z9",2023-11-24 13:48:31,"1700490367660",NA
"734","N7bugoz4P2AYbNyw6","655fea78fc30ed2f097c6a6f","C4QZ7grTdpe4p49z9",2023-11-24 13:53:10,"1700490367660",2023-11-24 13:53:13
"735","F4rQ3ycsu9EN6ZJyN","655fea78fc30ed2f097c6a6f","C4QZ7grTdpe4p49z9",2023-11-24 13:53:14,"1700490367660",2023-11-24 13:55:19
"736","4ZvES4fDgB33P9WJg","655fea78fc30ed2f097c6a6f","C4QZ7grTdpe4p49z9",2023-11-24 13:56:28,"1700490367660",NA
"737","zfhd93NXGD8fNotpN","655fea77fc30ed2f097c6a6c","C4QZ7grTdpe4p49z9",2023-11-24 13:56:59,"1700490367660",NA
"738","zu6cPMHjdZMZuMEjE","655fea75fc30ed2f097c6a67","C4QZ7grTdpe4p49z9",2023-11-24 14:03:02,"1700490367660",2023-11-24 14:04:22
"739","jhEkw7jJdnm2uW9Ro","655fea75fc30ed2f097c6a67","C4QZ7grTdpe4p49z9",2023-11-24 14:04:25,"1700490367660",2023-11-24 14:07:32
"740","HgEbmhX8DXze5uWeT","655fea75fc30ed2f097c6a67","C4QZ7grTdpe4p49z9",2023-11-24 14:08:39,"1700490367660",NA
"741","xzcsfQgAC3CFHZeHX","655fea6dfc30ed2f097c6a47","cqNk6ASXxNw7bZp5s",2023-11-24 14:23:52,"1700490367660",NA
"742","45RRpGYkDPc2PHqAh","655fea6efc30ed2f097c6a4c","cqNk6ASXxNw7bZp5s",2023-11-24 14:23:58,"1700490367660",NA
"743","k3NhEnjK4huDfj4B8","655fea5ffc30ed2f097c6a1b","4xApn9fiNmzp9XtHS",2023-11-24 14:35:33,"1700490367660",NA
"744","46pkihA6gCkMxpR4A","655fea74fc30ed2f097c6a63","qZFzgHRAqfWhKcJnN",2023-11-24 14:37:02,"1700490367660",NA
"745","KrMXY3Axbu5X4uBb2","655fe9e1fc30ed2f097c68a5","4xApn9fiNmzp9XtHS",2023-11-24 14:38:08,"1700490367660",NA
"746","Z8s4WPtRDjQLW9qE6","655fea78fc30ed2f097c6a6f","8sGfmhoyrkCvc9Qjk",2023-11-24 14:39:39,"1700490367660",NA
"747","iaiqwZY5oJXCfd3Sx","655fea05fc30ed2f097c6907","4xApn9fiNmzp9XtHS",2023-11-24 14:39:49,"1700490367660",NA
"748","PQP8ef8LsfBXmTY2c","655fea77fc30ed2f097c6a6c","4xApn9fiNmzp9XtHS",2023-11-24 14:40:02,"1700490367660",NA
"749","Pb8W9bBuqoEtatxEr","655fea78fc30ed2f097c6a70","SuPbS9QvvG58bp4qE",2023-11-24 14:59:55,"1700490367660",2023-11-24 14:59:56
"750","ff6JLX8sZ3yToPtHS","655fea78fc30ed2f097c6a70","SuPbS9QvvG58bp4qE",2023-11-24 14:59:58,"1700490367660",2023-11-24 14:59:59
"751","nzGsePWWHJeeAfc4J","655fea78fc30ed2f097c6a70","SuPbS9QvvG58bp4qE",2023-11-24 14:59:59,"1700490367660",NA
"752","Ea7HX8n35iS9ypZEY","655fea77fc30ed2f097c6a6c","KEDG5oCzhfoYuhu3g",2023-11-24 15:00:42,"1700490367660",NA
"753","D6RjJCftPbk2BqwHY","655fea59fc30ed2f097c6a0a","KEDG5oCzhfoYuhu3g",2023-11-24 15:10:38,"1700490367660",NA
"754","yu5BSewRxvkKetEod","655fea78fc30ed2f097c6a70","gi6FKfxhTxAsNQhvw",2023-11-24 15:52:03,"1700490367660",NA
"755","fJZavRxx87meKn2EC","655fea74fc30ed2f097c6a62","TZ784GPjGHBZNxC3G",2023-11-24 15:54:38,"1700490367660",NA
"756","qJkfNoox5mKNZwTwZ","655fea78fc30ed2f097c6a70","pc3wfFhJXWdG6rhED",2023-11-24 16:22:56,"1700490367660",NA
"757","fcDhnhqiNYYkwQ5sL","655fea78fc30ed2f097c6a6e","9kiYdTzAJRjecwjk6",2023-11-24 16:24:48,"1700490367660",NA
"758","AurLPBp35ZjLGcg8g","655f53a490673a63ff46c2ea","JxAdW9un6qRmeZLns",2023-11-24 16:25:10,"1700490367660",2023-11-24 16:25:11
"759","g2mA6SNfwPdDbh9mK","655fea12fc30ed2f097c6927","JxAdW9un6qRmeZLns",2023-11-24 16:27:32,"1700490367660",2023-11-24 16:27:35
"760","76jYaoGTD44mjJRXh","655fea77fc30ed2f097c6a6c","9kiYdTzAJRjecwjk6",2023-11-24 16:27:33,"1700490367660",NA
